guideId,outletId,originType,originId,transportationType,title,estimatedDuration,estimatedCost,recommended,steps,updatedAt
puglia-village-car-parking-airport-guide,puglia-village,airport,bari-airport,taxi,Bari Airport or Bari Area to Puglia Village by Road,21 min without traffic via SS16 from Bari Airport,"Parking available; confirm taxi, rental-car or transfer fare",false,"[{""order"":1,""description"":""Set navigation to Puglia Village, Via dei Portuali 12, zona Calderina, Molfetta.""},{""order"":2,""description"":""From Bari Airport, follow the SS16 road access listed on the official directions page.""},{""order"":3,""description"":""If driving, use the signed parking areas A-B-C-D-E-F listed by the Village.""},{""order"":4,""description"":""If using a taxi, ask the Info Point or your provider to confirm availability, fare, and the return pickup location.""}]",2026-07-05
sicilia-outlet-village-bus-shuttle-guide,sicilia-outlet-village,city_center,sicily-destinations,shuttle,Sicily Destinations to Sicilia Outlet Village by Bus or Shuttle,,Approx. €10–30 adult one way; varies by departure and operator,true,"[{""order"":1,""description"":""Use Sicilia Outlet Village's official bus links and check Interbus or Sais Autolinee for the current route, stop, and timetable.""},{""order"":2,""description"":""For outlet shuttle routes, use only the dedicated official route pages for Palermo, Messina, the Taormina Coast, Cefalù, or another listed departure.""},{""order"":3,""description"":""Book or buy tickets only through the official operator or route booking channel for the service you plan to use.""},{""order"":4,""description"":""Before shopping, confirm the return bus or shuttle time and stop with the same official operator.""}]",2026-08-03
sicilia-outlet-village-car-transfer-airport-guide,sicilia-outlet-village,airport,catania-palermo-airports,taxi,"Catania, Palermo, or Sicily Locations to Sicilia Outlet Village by Road",30 min from Catania or Enna; 70 min from Palermo or Taormina,Large free parking available; taxi/private transfer fare varies,false,"[{""order"":1,""description"":""Set navigation to Sicilia Outlet Village, A19, 94011 Agira EN, and use the Dittaino-Outlet highway exit.""},{""order"":2,""description"":""Follow signs to the large free visitor parking areas on arrival.""},{""order"":3,""description"":""For airport access, check Sais Autolinee from Catania Airport or Palermo Airport only when the official timetable confirms a suitable Village stop.""},{""order"":4,""description"":""If using taxi or NCC private transfer, contact the provider or the Village Info Point to confirm fare, pickup point, and return plan.""}]",2026-07-05
scalo-milano-shuttle-guide,scalo-milano-outlet-more,city_center,milan-city-center,shuttle,Milan to Scalo Milano by Official Shuttle Bus,,Approx. €5–10 paying-adult return; check current official booking total,true,"[{""order"":1,""description"":""Check Scalo Milano's official shuttle information and linked booking channel for the current schedule and booking terms.""},{""order"":2,""description"":""Choose an official Milan stop, such as Piazza della Repubblica, Via Lorenzini/Fondazione Prada, or Via Ripamonti/IEO.""},{""order"":3,""description"":""Reserve the shuttle through the official booking channel and keep your confirmation available.""},{""order"":4,""description"":""Confirm the same-day return departure from Scalo Milano before shopping.""}]",2026-08-03
scalo-milano-train-bus-guide,scalo-milano-outlet-more,station,locate-triulzi-station,train,Milan Area to Scalo Milano by Train or Public Bus,,Check official rail or bus fare,false,"[{""order"":1,""description"":""Use the official rail timetable for Passante Ferroviario S13 services to Locate Triulzi.""},{""order"":2,""description"":""Alight at Locate Triulzi station, which Scalo Milano lists near Gate 1.""},{""order"":3,""description"":""For bus travel, verify current stops and timetables for ATM 220 Locate di Triulzi-Rozzano, 94 Pavia-Milano Romolo, or 155 San Zenone Po-Milano Famagosta.""},{""order"":4,""description"":""Check your return S13 or bus time before shopping.""}]",2026-08-03
scalo-milano-car-parking-airport-guide,scalo-milano-outlet-more,airport,milan-airports,taxi,Milan or Airports to Scalo Milano by Road,15 min from central Milan; airport timing varies by traffic,"Free covered and uncovered parking; confirm airport taxi, rental-car or transfer fare",false,"[{""order"":1,""description"":""Set navigation to Scalo Milano Outlet & More, Via Milano 5, Locate Triulzi.""},{""order"":2,""description"":""Follow the official route guidance from Milan toward SS 412 Val Tidone and Locate Triulzi.""},{""order"":3,""description"":""From Malpensa or Linate, use an official airport taxi, rental car, or confirmed transfer provider via the road routes listed by Scalo Milano.""},{""order"":4,""description"":""Use Scalo Milano's free covered or uncovered parking if driving; do not rely on a dedicated airport shuttle unless one is officially published.""}]",2026-07-05
torino-outlet-village-public-transport-guide,torino-outlet-village,city_center,turin-city-center,train,"Turin to Torino Outlet Village by Tram, Train, and GTT Bus",,Approx. €3–6 adult one-way local transport total,true,"[{""order"":1,""description"":""For the tram route, take Tram 4 toward Falchera to Stura Station, then GTT bus SE1 or SE2 from the terminus by the Stura GTT multi-storey car park to Nervi.""},{""order"":2,""description"":""For the train route, use SFM lines 1, 2, 4, 6 or 7 from Torino Lingotto, Porta Susa, or Rebaudengo to Torino Stura.""},{""order"":3,""description"":""Continue from Torino Stura by GTT bus SE1 or SE2 and get off at Nervi after the confirmed four-stop bus segment.""},{""order"":4,""description"":""Check both the return bus and onward tram or train times before shopping.""}]",2026-08-03
torino-outlet-village-car-transfer-airport-guide,torino-outlet-village,airport,turin-airport,taxi,"Turin Airport, Turin, or West Milan to Torino Outlet Village by Road",About 15 min from Turin Airport; 10 min from Turin city center; 50 min from West Milan,Confirm taxi or private-transfer fare; fuel and tolls vary,false,"[{""order"":1,""description"":""Set navigation to Torino Outlet Village, Via Torino 160-162.""},{""order"":2,""description"":""Use the Turin-Milan highway access listed by the outlet, with Settimo Torinese or Falchera-Abbadia di Stura as the recommended exits when appropriate for your route.""},{""order"":3,""description"":""From Turin Airport, use the taxi service listed by the official find-us page and confirm the fare with the provider.""},{""order"":4,""description"":""For private transfer, contact the outlet email or phone number on the find-us page and confirm pickup point and return timing.""}]",2026-07-05
mondovicino-outlet-village-train-bus-guide,mondovicino-outlet-village,station,mondovi-station,bus,Mondovì FS to Mondovicino Outlet Village by Urban Circular Bus,,Approx. €2–3 adult one-way urban bus fare,true,"[{""order"":1,""description"":""Check the current weekday or holiday urban circular timetable linked by Mondovicino.""},{""order"":2,""description"":""Depart from Mondovì FS on the urban circular bus.""},{""order"":3,""description"":""Confirm that the selected service is travelling in the correct direction for Mondovicino Outlet Village.""},{""order"":4,""description"":""Check the return time before shopping.""}]",2026-08-03
mondovicino-outlet-village-road-airport-guide,mondovicino-outlet-village,airport,cuneo-turin-genoa-malpensa-nice-airports,taxi,Road and Airport Access to Mondovicino Outlet Village,30 min from Cuneo; 1 hr from Turin; 1 hr 30 min from Genoa; 2 hr 30 min from Milan Malpensa or Nice,"Confirm airport taxi, rental-car or transfer fare; fuel and tolls vary",false,"[{""order"":1,""description"":""From Turin or Savona, use the A6 Torino-Savona and exit at Mondovì as listed by Mondovicino.""},{""order"":2,""description"":""From Cuneo, use SS28; from the Langhe, use SP12; from the Côte d'Azur, use A10 then A6 when that route matches current conditions.""},{""order"":3,""description"":""From Cuneo, Turin, Genoa, Milan Malpensa, or Nice airports, use an official airport taxi, rental car, or confirmed transfer provider.""},{""order"":4,""description"":""Do not rely on a dedicated airport shuttle unless Mondovicino publishes one for your travel date.""}]",2026-07-05
brugnato-5terre-outlet-village-train-taxi-guide,brugnato-5terre-outlet-village,station,la-spezia-or-levanto-station,train,La Spezia or Levanto Station to Brugnato 5Terre Outlet Village by Taxi,Rail timing varies by origin; onward taxi required,Check official rail fare and taxi fare,false,"[{""order"":1,""description"":""Use the official rail timetable to travel to La Spezia or Levanto, the railway stations listed by the outlet access guidance.""},{""order"":2,""description"":""Before departure, verify taxi availability from the chosen station for the onward trip to Brugnato 5Terre Outlet Village.""},{""order"":3,""description"":""Continue by taxi to the Outlet Village and agree the return pickup point or taxi contact before leaving the vehicle.""},{""order"":4,""description"":""Before shopping, check both the return taxi arrangement and the onward train departure from La Spezia or Levanto.""}]",2026-07-05
brugnato-5terre-outlet-village-road-airport-guide,brugnato-5terre-outlet-village,airport,pisa-or-genoa-airport,taxi,Pisa or Genoa Airport to Brugnato 5Terre Outlet Village by Road,Check official airport ground transport and road conditions,"Confirm airport rail, taxi, rental-car or transfer fare; fuel and tolls vary",false,"[{""order"":1,""description"":""From Pisa or Genoa airport, use official airport ground transport information to choose a licensed taxi, rental car, rail connection, or confirmed transfer.""},{""order"":2,""description"":""If driving, follow the outlet's official road guidance toward the A12 Genova-Livorno and the Brugnato motorway exit.""},{""order"":3,""description"":""For approaches from Milan use A1-A15/E33, from Parma use A15/E33, and from Genova or La Spezia use A12/E80 when those routes match current conditions.""},{""order"":4,""description"":""Do not rely on a dedicated airport shuttle unless the outlet publishes one for your travel date; confirm the return airport transfer before shopping.""}]",2026-07-05
brugnato-5terre-outlet-village-shuttle-guide,brugnato-5terre-outlet-village,city_center,liguria-or-tuscany-shuttle-points,shuttle,Brugnato 5Terre Outlet Village Shuttle from Liguria or Tuscany,,€5 per person; cash at departure,true,"[{""order"":1,""description"":""Check the official Brugnato shuttle information for the current operating dates and departure locations in Liguria and Tuscany.""},{""order"":2,""description"":""Complete the mandatory reservation through the Infopoint.""},{""order"":3,""description"":""Arrive early at the confirmed departure point and have the €5 cash payment ready.""},{""order"":4,""description"":""Travel by shuttle to Brugnato 5Terre Outlet Village.""},{""order"":5,""description"":""Confirm the return time before shopping.""}]",2026-08-03
valmontone-outlet-train-shuttle-guide,valmontone-outlet,station,valmontone-station,train,Valmontone Station to Valmontone Outlet by Official Shuttle,,€1.50 outlet shuttle from Valmontone station; upstream train excluded,true,"[{""order"":1,""description"":""Use Trenitalia to plan a rail journey to Valmontone station and check Valmontone Outlet's official Link information before travel.""},{""order"":2,""description"":""Confirm the outlet shuttle is operating for your date; the transportation record verifies Wednesday-through-Sunday and holiday service.""},{""order"":3,""description"":""At Valmontone station, board the official outlet shuttle only after confirming the current departure time and fare.""},{""order"":4,""description"":""Before shopping, confirm the return shuttle from the outlet to Valmontone station and your onward train.""}]",2026-08-03
cilento-outlet-village-train-guide,cilento-outlet-village,station,battipaglia-station,taxi,Battipaglia FS to Cilento Outlet by Taxi,,Approx. €25–40 daytime taxi from Battipaglia FS; upstream train excluded,true,"[{""order"":1,""description"":""Travel by train to Battipaglia FS.""},{""order"":2,""description"":""Arrange a licensed taxi or verified pickup before travelling.""},{""order"":3,""description"":""Use the 10 km road transfer to the outlet.""},{""order"":4,""description"":""Confirm the return pickup and train time before shopping.""}]",2026-08-03
santangelo-outlet-village-train-guide,santangelo-outlet-village,station,pescara-centrale-station,taxi,Pescara Centrale to Santangelo Outlet Village by Taxi,15 min,Approx. €20–35 daytime taxi from Pescara Centrale; upstream train excluded,true,"[{""order"":1,""description"":""Use Trenitalia to plan a rail journey to Pescara Centrale, the station listed by Santangelo Outlet Village.""},{""order"":2,""description"":""Before travelling, confirm the onward transport option for the 15-minute connection from Pescara Centrale to the outlet.""},{""order"":3,""description"":""Continue to Santangelo Outlet Village only after confirming the stop, fare or pickup point for the onward connection.""},{""order"":4,""description"":""Check both return onward transport and train times before shopping.""}]",2026-08-03
santangelo-outlet-village-bus-guide,santangelo-outlet-village,city_center,pescara-city-center,bus,Pescara to Santangelo Outlet Village by Bus,,Check the current TUA fare,false,"[{""order"":1,""description"":""Check the current TUA timetable before travelling.""},{""order"":2,""description"":""Confirm the correct stop for the outlet before boarding in Pescara.""},{""order"":3,""description"":""Confirm the final walking or local connection from the verified stop to the outlet.""},{""order"":4,""description"":""Check the return service in advance.""}]",2026-08-03
riga-to-via-jurmala-outlet-village-bus,via-jurmala-outlet-village,city_center,riga-city-center,bus,Riga to Via Jurmala Outlet Village by Bus,,€1.15,true,"[{""order"":1,""description"":""From Riga, check the official Rīgas satiksme timetable for Bus Route 4 or Route 32 toward Piņķi / Via Jurmala Outlet Village.""},{""order"":2,""description"":""Board the confirmed service from the listed Riga stop only after checking the official timetable for the shopping date.""},{""order"":3,""description"":""Get off at the official Piņķi stop, then follow the pedestrian route to Via Jurmala Outlet Village.""},{""order"":4,""description"":""Before shopping, check the official return timetable for Route 4 or Route 32 back toward Riga.""}]",2026-07-04
babite-station-to-via-jurmala-outlet-village-bus,via-jurmala-outlet-village,station,babite-station,bus,Babīte Station to Via Jurmala Outlet Village by Bus,check official timetable,check official fare,false,"[{""order"":1,""description"":""Arrive at Babīte by official passenger train after checking the Vivi / Latvian rail timetable from Riga or Jūrmala.""},{""order"":2,""description"":""At Babīte, check the official Route 4 timetable toward Piņķi / Via Jurmala Outlet Village.""},{""order"":3,""description"":""Board Route 4 when it fits your train arrival, or use a licensed taxi if the official bus timetable does not work.""},{""order"":4,""description"":""For the return, check both the Route 4 bus timetable and the onward train timetable before leaving the outlet.""}]",2026-07-04
jurmala-to-via-jurmala-outlet-village-train-bus,via-jurmala-outlet-village,city_center,jurmala-city-center,train,Jūrmala to Via Jurmala Outlet Village by Train and Bus,check official timetable,check official train and bus fares,false,"[{""order"":1,""description"":""From Jūrmala, check official Vivi / Latvian rail services toward Babīte.""},{""order"":2,""description"":""Travel by train to Babīte, then connect to official Bus Route 4 toward Piņķi / Via Jurmala Outlet Village if the timetable fits.""},{""order"":3,""description"":""Complete the last-mile bus ride or use a licensed taxi from Babīte when no convenient official bus is available.""},{""order"":4,""description"":""Check official return bus and train times before shopping.""}]",2026-07-04
via-jurmala-outlet-village-car-parking-guide,via-jurmala-outlet-village,city_center,riga-city-center,taxi,Via Jurmala Outlet Village by Car or Taxi,check traffic,parking at outlet; taxi fare confirm with provider,false,"[{""order"":1,""description"":""Follow the official outlet driving directions from Riga or Jūrmala toward Piņķi, Saliena and Exupery International School.""},{""order"":2,""description"":""Use the Via Jurmala Outlet Village parking lot indicated by the official access page.""},{""order"":3,""description"":""If using Smile Taxi or another licensed taxi, confirm the fare and return pickup point before shopping.""},{""order"":4,""description"":""For the return by car, re-check the official route because missed turns near the Jūrmala approach may require a turnaround.""}]",2026-07-04
vilnius-center-to-outlet-park-vilnius-bus,outlet-park-vilnius,city_center,vilnius-city-center,bus,Vilnius City Centre to Outlet Park by Public Bus,,€1.25,true,"[{""order"":1,""description"":""Open the official JUDU journey planner and set the destination near Outlet Park / Ogmios Miestas before leaving central Vilnius.""},{""order"":2,""description"":""Choose a JUDU bus or trolleybus itinerary to the closest operating stop and check the official timetable for the shopping date.""},{""order"":3,""description"":""Ride to the confirmed stop, then follow the signed pedestrian route into the Outlet Park / Ogmios Miestas shopping area.""},{""order"":4,""description"":""Before shopping, check official return departures in JUDU so you know which stop and line to use back to the city centre.""}]",2026-07-04
vilnius-airport-to-outlet-park-vilnius-bus,outlet-park-vilnius,airport,vilnius-airport,bus,Vilnius Airport to Outlet Park by Public Transport,check official timetable,check official fare,false,"[{""order"":1,""description"":""At Vilnius Airport, use the official airport and JUDU information to choose the current public-transport connection toward Outlet Park / Ogmios Miestas.""},{""order"":2,""description"":""If the planner requires a transfer in central Vilnius, confirm both legs and the official timetable before boarding.""},{""order"":3,""description"":""Travel to the closest confirmed stop for Outlet Park and complete the last-mile walk on marked pedestrian routes.""},{""order"":4,""description"":""For the return to the airport, check official JUDU times and allow a flight check-in buffer.""}]",2026-07-04
outlet-park-vilnius-car-parking-guide,outlet-park-vilnius,city_center,vilnius-city-center,taxi,Outlet Park Vilnius by Car or Taxi,check traffic,check official parking terms; taxi fare confirm with provider,false,"[{""order"":1,""description"":""Set the destination to Outlet Park / Ogmios Miestas and confirm the active vehicle entrance before departure.""},{""order"":2,""description"":""For self-drive parking, use the official parking operator information for the Outlet Park / V. Pociūno area and check the current free-time and payment rules.""},{""order"":3,""description"":""If using a taxi or ride-hail, agree the pickup point near the shopping area before entering the centre.""},{""order"":4,""description"":""Before leaving, pay or validate parking as required by the official parking operator and confirm the exit route.""}]",2026-07-04
stuttgart-city-center-to-outletcity-metzingen,outletcity-metzingen,city_center,stuttgart-city-center,train,Stuttgart city center to Outletcity Metzingen by train,,≈€10–15 total (estimated); check current DB or bwegt fare,true,"[{""order"":1,""description"":""Use Deutsche Bahn or bwegt for Stuttgart Hbf to Metzingen (Württ); Outletcity lists Metzingen (Württ) station as the train access point.""},{""order"":2,""description"":""Board a regional connection toward Metzingen, changing at Reutlingen or Tübingen only if the official planner requires it for your departure.""},{""order"":3,""description"":""At Metzingen (Württ), follow signs toward Outletcity; the walk to Hugo-Boss-Platz and the main shopping streets is about 10-15 minutes.""},{""order"":4,""description"":""For the return, check the evening DB/bwegt departure from Metzingen before shopping and allow time to walk back to the station.""},{""order"":5,""description"":""Use DB/bwegt on the day and do not rely on historic schedules because regional train transfers can change.""},{""order"":6,""description"":""Before checkout, confirm you are walking 10-15 minutes back to Metzingen (Württ) station; if you miss the final planned connection, use the official operator app for the next train/bus or ask Outletcity guest services about taxi/private transfer options.""}]",2026-07-01
stuttgart-airport-to-outletcity-metzingen,outletcity-metzingen,airport,stuttgart-airport,shuttle,Stuttgart Airport to Outletcity Metzingen,≈35-50 min (estimated),€10 round-trip advance / €12 on bus / €8.50 one-way (official shuttle fare),false,"[{""order"":1,""description"":""Check the official Outletcity Shopping Shuttle Line 1 timetable for Stuttgart Airport and surrounding stops before booking.""},{""order"":2,""description"":""Book online where possible; Outletcity states advance round-trip tickets cost €10, while onboard purchase is €12 round-trip or €8.50 one-way.""},{""order"":3,""description"":""Board at the airport pickup point shown on the official booking/timetable and ride directly to Outletcity Metzingen.""},{""order"":4,""description"":""Keep the return departure time from Outletcity available; if the shuttle does not run for your flight time, use DB/bwegt via Stuttgart Hbf or a taxi/private transfer.""}]",2026-07-01
metzingen-station-to-outletcity-metzingen,outletcity-metzingen,station,metzingen-station,walking,Metzingen station to Outletcity Metzingen,≈10-15 min (estimated),Free,false,"[{""order"":1,""description"":""Arrive at Metzingen (Württ), the station named by Outletcity for train arrivals.""},{""order"":2,""description"":""Exit toward central Metzingen and follow pedestrian signs/navigation to Hugo-Boss-Platz 4 and the Outletcity shopping streets.""},{""order"":3,""description"":""Use a taxi only if you have heavy luggage or accessibility needs; the normal last-mile route is a short walk.""},{""order"":4,""description"":""For the return, leave the shops early enough for the 10-15 minute walk and recheck your DB/bwegt platform.""}]",2026-07-01
outletcity-metzingen-direct-shuttle,outletcity-metzingen,city_center,stuttgart-city-center,shuttle,Stuttgart direct Shopping Shuttle to Outletcity Metzingen,≈35-50 min (estimated),€10 round-trip advance / €12 on bus / €8.50 one-way (official shuttle fare),false,"[{""order"":1,""description"":""Open the official Outletcity Shopping Shuttle page and choose Line 2 from Stuttgart city center to Outletcity Metzingen and back.""},{""order"":2,""description"":""Book online in advance where possible for the €10 round-trip fare; confirm the exact pickup point and operating day on the timetable.""},{""order"":3,""description"":""Arrive at the confirmed Stuttgart pickup point early and keep your booking ready for boarding.""},{""order"":4,""description"":""On arrival, note the Outletcity return stop and departure time before entering the shops.""},{""order"":5,""description"":""If Line 2 is not operating on your date, use the Stuttgart Hbf to Metzingen (Württ) train guide instead.""}]",2026-07-01
outletcity-metzingen-public-transport,outletcity-metzingen,city_center,stuttgart-city-center,bus,Public transport and bus options to Outletcity Metzingen,≈40-60 min (estimated),≈€8-15 (estimated),false,"[{""order"":1,""description"":""Use bwegt or DB for regional train options and the official Outletcity page for bus links, including eXpresso and Swiss Eurobus where relevant.""},{""order"":2,""description"":""Enter Metzingen (Württ) or Outletcity Metzingen as the destination and select the connection that matches your shopping hours.""},{""order"":3,""description"":""If routed by rail, walk from Metzingen station; if routed by bus, get off only at the stop named in the official timetable.""},{""order"":4,""description"":""Buy the correct operator ticket before boarding and keep enough time for the final walk or stop transfer.""},{""order"":5,""description"":""Recheck the last return connection on DB/bwegt or the bus operator before checkout.""}]",2026-07-01
outletcity-metzingen-by-car,outletcity-metzingen,city_center,stuttgart-city-center,taxi,Driving to Outletcity Metzingen,"≈30 min (official from Stuttgart, traffic-dependent)",Parking: P4/P4.1 free; other car parks confirm on site,false,"[{""order"":1,""description"":""Set navigation to OUTLETCITY METZINGEN, Hugo-Boss-Platz 4, 72555 Metzingen, the address on the official arrival page.""},{""order"":2,""description"":""Drive from Stuttgart toward Metzingen and follow local Outletcity parking signs on arrival.""},{""order"":3,""description"":""Choose the official car park closest to your shops: P0, P1, P2, P3, or the free P4/P4.1 parking spaces listed by Outletcity.""},{""order"":4,""description"":""For the return, save your parking location, check live traffic toward Stuttgart, and follow the signed exit route rather than stopping near store entrances.""}]",2026-07-01
outletcity-metzingen-parking,outletcity-metzingen,city_center,stuttgart-city-center,walking,Parking guidance for Outletcity Metzingen,On site,P4/P4.1 free (official); other parking confirm on site,false,"[{""order"":1,""description"":""Check the official parking list before driving; Outletcity lists garages P0-P3, free spaces P4 and P4.1, and e-charging at several car parks.""},{""order"":2,""description"":""Follow signs to the designated visitor car park instead of stopping at Hugo-Boss-Platz or shop entrances.""},{""order"":3,""description"":""If you need EV charging, choose one of the official e-charging locations and confirm availability on arrival.""},{""order"":4,""description"":""Keep any ticket/payment instructions and note the pedestrian route from your car park back to the shops and later to your return exit.""}]",2026-07-01
munich-city-center-to-ingolstadt-village,ingolstadt-village,city_center,munich-city-center,shuttle,Munich city center to Ingolstadt Village by Shopping Express,≈45 min (official),Confirm with provider,false,"[{""order"":1,""description"":""Use the official Ingolstadt Village Getting Here page and book the Shopping Express seat before travel.""},{""order"":2,""description"":""Board at the Munich pickup point shown on the official booking confirmation; the Village states the Shopping Express runs Munich to Ingolstadt Village and back Monday to Saturday.""},{""order"":3,""description"":""Ride directly to Ingolstadt Village, then check the return stop and departure time before shopping.""},{""order"":4,""description"":""If your date is sold out or the coach is not operating, use the train plus bus 22 route instead.""}]",2026-07-01
munich-city-center-to-ingolstadt-village-train-bus,ingolstadt-village,city_center,munich-city-center,train,Munich to Ingolstadt Village by Train and VGI 22,,≈€20–35 total (estimated); check current DB and VGI fares,true,"[{""order"":1,""description"":""Travel from München Hbf to Ingolstadt Hbf using the current DB connection.""},{""order"":2,""description"":""Transfer to VGI 22.""},{""order"":3,""description"":""Alight directly at Ingolstadt Village.""},{""order"":4,""description"":""Check the return bus and train before shopping.""}]",2026-07-01
munich-airport-to-ingolstadt-village,ingolstadt-village,airport,munich-airport,bus,Munich Airport to Ingolstadt Village,≈1 hr 25 min-1 hr 55 min (estimated),≈€15-30 (estimated),false,"[{""order"":1,""description"":""Use the official VGI Airport Express between Munich Airport and Ingolstadt; VGI lists stops at Munich Airport Center and Terminal 2 and Ingolstadt Nordbahnhof/ZOB.""},{""order"":2,""description"":""From Ingolstadt Nordbahnhof or ZOB, change to VGI bus 20 for Ingolstadt Village, as listed on the official Village Getting Here page.""},{""order"":3,""description"":""If your connection uses Ingolstadt Hbf instead, continue by VGI bus 22 directly to the Village.""},{""order"":4,""description"":""Before shopping, confirm the Airport Express return timetable because airport tickets and regional tickets can have separate rules.""}]",2026-07-01
ingolstadt-hbf-to-ingolstadt-village,ingolstadt-village,station,ingolstadt-hbf,bus,Ingolstadt Hbf to Ingolstadt Village,25 min,Check current VGI fare,false,"[{""order"":1,""description"":""Exit Ingolstadt Hbf and find the VGI bus stop for line 22 toward Ingolstadt Village.""},{""order"":2,""description"":""Take bus 22; the official Ingolstadt Village train page states the journey takes approximately 25 minutes and stops right in front of the Village.""},{""order"":3,""description"":""Check the VGI real-time display or timetable for the exact departure and return times.""},{""order"":4,""description"":""For the return, board bus 22 at the Village stop back toward Ingolstadt Hbf.""}]",2026-07-01
ingolstadt-village-by-car,ingolstadt-village,city_center,munich-city-center,taxi,Driving to Ingolstadt Village,≈45-70 min (estimated),Parking free (official),false,"[{""order"":1,""description"":""Set navigation to Ingolstadt Village, Otto-Hahn-Straße 1, 85055 Ingolstadt.""},{""order"":2,""description"":""Drive from Munich via the A9 toward Ingolstadt and follow local signs to the Village.""},{""order"":3,""description"":""The official Village visit page states the centre is directly on the A9 and offers complimentary parking and EV charging points.""},{""order"":4,""description"":""For the return, check live motorway traffic before leaving the car park.""}]",2026-07-01
frankfurt-city-center-to-wertheim-village,wertheim-village,city_center,frankfurt-city-center,shuttle,Frankfurt city center to Wertheim Village by Shopping Express,,≈€20–35 return (estimated); check current official fare and booking terms,true,"[{""order"":1,""description"":""Use the official Wertheim Village visit page and Shopping Express booking link; the Village says it is 45 minutes from Frankfurt and next to the A3.""},{""order"":2,""description"":""Book the Frankfurt Shopping Express in advance and confirm the exact city-center pickup point and operating day.""},{""order"":3,""description"":""Ride directly to Wertheim Village and note the return stop before shopping.""},{""order"":4,""description"":""If the coach is unavailable, use DB from Frankfurt toward Wertheim/Würzburg and a local bus or taxi for the final leg.""},{""order"":5,""description"":""Reserve before travel and confirm fare, pickup point, luggage rules, and the return departure time with the Shopping Express provider.""}]",2026-07-01
frankfurt-airport-to-wertheim-village,wertheim-village,airport,frankfurt-airport,train,Frankfurt Airport to Wertheim Village,≈1 hr 30 min-2 hr 15 min (estimated),≈€20-40 (estimated),false,"[{""order"":1,""description"":""Use DB from Frankfurt Flughafen Fernbahnhof/Regionalbahnhof toward Wertheim, usually changing through Frankfurt Hbf, Aschaffenburg, Würzburg, or Lauda depending on the timetable.""},{""order"":2,""description"":""From Wertheim station, use the official local connection shown by the planner or take a short taxi to Wertheim Village.""},{""order"":3,""description"":""For airport returns, choose a connection with extra buffer for rail changes and security.""},{""order"":4,""description"":""If travelling on a Shopping Express operating day, compare the airport-to-city transfer plus coach with the rail option before booking.""}]",2026-07-01
wertheim-station-to-wertheim-village,wertheim-village,station,wertheim-station,bus,Wertheim station to Wertheim Village,≈10-20 min (estimated),≈€3-15 (estimated),false,"[{""order"":1,""description"":""Arrive at Wertheim station and check the official local transport planner for the next bus to Wertheim Village or Almosenberg.""},{""order"":2,""description"":""If no suitable bus is due, take a short local taxi to the Village.""},{""order"":3,""description"":""Get off at the Village/Almosenberg stop named by the operator and follow pedestrian signs to the boutiques.""},{""order"":4,""description"":""For the return, check the last bus or pre-book a taxi before leaving the shops.""}]",2026-07-01
wertheim-village-public-transport,wertheim-village,city_center,frankfurt-city-center,train,Frankfurt to Wertheim Village by train and local transfer,≈1 hr 45 min-2 hr 30 min (estimated),≈€20-35 (estimated),false,"[{""order"":1,""description"":""Use DB for Frankfurt Hbf to Wertheim; the official Village page confirms train access from Frankfurt and Würzburg.""},{""order"":2,""description"":""Change only as shown in the official planner, commonly via Aschaffenburg, Würzburg, or Lauda depending on departure.""},{""order"":3,""description"":""At Wertheim station, continue by the official local bus if it matches your arrival, or use a taxi for the short last mile.""},{""order"":4,""description"":""Buy rail and local tickets according to the operator rules and recheck the return before shopping.""},{""order"":5,""description"":""Use the official Village page for Shopping Express context, DB for rail, and the local operator for the Wertheim station last mile; keep separate tickets for coach, rail, and local bus where required.""},{""order"":6,""description"":""Confirm the last useful bus/taxi from Wertheim Village before shopping; if you miss the planned return, ask Concierge/Guest Services to help confirm the next DB/local bus option or a taxi.""}]",2026-07-01
wertheim-village-by-car,wertheim-village,city_center,frankfurt-city-center,taxi,Driving to Wertheim Village,"≈45 min (official, traffic-dependent)",Parking free (official),false,"[{""order"":1,""description"":""Set navigation to Wertheim Village, Almosenberg, 97877 Wertheim.""},{""order"":2,""description"":""Drive from Frankfurt via the A3 toward Wertheim; the official page says the Village is next to the A3 motorway.""},{""order"":3,""description"":""Follow signs to the complimentary Village car parks and EV charging points.""},{""order"":4,""description"":""For the return, save your car park area and check live A3 traffic toward Frankfurt before leaving.""}]",2026-07-01
wertheim-village-parking,wertheim-village,city_center,frankfurt-city-center,walking,Parking guidance for Wertheim Village,On site,Free (official),false,"[{""order"":1,""description"":""Use the official Visit page before arrival; Wertheim Village states parking is complimentary and EV charging points are available.""},{""order"":2,""description"":""Follow the signed visitor parking route and parking attendants if present.""},{""order"":3,""description"":""If you need accessible, reserved, or EV parking, confirm current availability with Guest Services before travel.""},{""order"":4,""description"":""Note your parking zone and pedestrian entrance for a simple return after shopping.""}]",2026-07-01
